migration_id,data_domain,check_type,source_value,target_value,tolerance,status,evidence_classification
mig-legacy-tms-sqlmi,vehicles,null_profile,0,0,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,vehicles,checksum,d973b20d46370ab234eeec4174054d283ebd429334e2c670fe92107bcd421326,d973b20d46370ab234eeec4174054d283ebd429334e2c670fe92107bcd421326,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,shipments,row_count,18,18,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,shipments,business_key_count,18,18,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,shipments,duplicate_key_count,0,0,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,shipments,null_profile,9,9,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,shipments,checksum,76dd61208e7d4ade9b94bafe42def23c56c2a2643b6caf95cf8280a8447e68da,76dd61208e7d4ade9b94bafe42def23c56c2a2643b6caf95cf8280a8447e68da,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,shipment_events,row_count,73,73,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,shipment_events,business_key_count,73,73,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,shipment_events,duplicate_key_count,0,0,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,shipment_events,null_profile,0,0,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,shipment_events,checksum,29f93919870effcf28deebdbcbb9fbfc5b15d637e6a34471ef2f95b6c6bca9d9,29f93919870effcf28deebdbcbb9fbfc5b15d637e6a34471ef2f95b6c6bca9d9,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,shipments_to_customers,referential_integrity,0,0,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,shipment_events,shipment_event_chronology,15,15,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,invoices,row_count,18,18,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,invoices,business_key_count,18,18,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,invoices,duplicate_key_count,0,0,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,invoices,null_profile,0,0,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,invoices,checksum,c9d62249ecfe27e3264f89a88a28824b22243ac9f9beba4ec2761f3ba88184d6,c9d62249ecfe27e3264f89a88a28824b22243ac9f9beba4ec2761f3ba88184d6,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,payments,row_count,11,11,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,payments,business_key_count,11,11,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,payments,duplicate_key_count,0,0,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,payments,null_profile,0,0,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,payments,checksum,543e22f0e4b9fb05540b3191263502833142500f6e96b00d02fdecadb2a188b5,543e22f0e4b9fb05540b3191263502833142500f6e96b00d02fdecadb2a188b5,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,service_cases,row_count,6,6,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,service_cases,business_key_count,6,6,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,service_cases,duplicate_key_count,0,0,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,service_cases,null_profile,2,2,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,service_cases,checksum,d6842eedd520506298615d4f083cf7d18ef9f64b979950c58eb1d2f100d2e2cb,d6842eedd520506298615d4f083cf7d18ef9f64b979950c58eb1d2f100d2e2cb,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,case_notes,row_count,16,16,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,case_notes,business_key_count,16,16,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,case_notes,duplicate_key_count,0,0,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,case_notes,null_profile,0,0,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,case_notes,checksum,8ea890afbf482d92b3c6daa89f5e3eb4c73175cbdf3b3a016756c567b3d32919,8ea890afbf482d92b3c6daa89f5e3eb4c73175cbdf3b3a016756c567b3d32919,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,payments_to_invoices,referential_integrity,0,0,0 unless financial sanity check,passed,locally validated
mig-billing-postgres,billing_financials,invoice_payment_total_sanity,13548.53,7105.41,0 unless financial sanity check,passed,locally validated
