event_id,shipment_id,event_sequence,event_type,event_timestamp,source_system,event_payload_json
EVT000000000054,SHP000000014,2,allocated,2026-01-02T00:38:00Z,legacy_tms,"{""scanner"": ""SCN392"", ""status"": ""allocated""}"
EVT000000000055,SHP000000014,3,departed,2026-01-02T04:38:00Z,legacy_tms,"{""scanner"": ""SCN102"", ""status"": ""departed""}"
EVT000000000056,SHP000000014,4,arrived,2026-01-02T20:38:00Z,legacy_tms,"{""scanner"": ""SCN985"", ""status"": ""arrived""}"
EVT000000000057,SHP000000015,1,created,2026-01-01T19:15:00Z,legacy_tms,"{""scanner"": ""SCN301"", ""status"": ""created""}"
EVT000000000058,SHP000000015,2,allocated,2026-01-02T01:15:00Z,legacy_tms,"{""scanner"": ""SCN150"", ""status"": ""allocated""}"
EVT000000000059,SHP000000015,3,departed,2026-01-01T23:15:00Z,legacy_tms,"{""scanner"": ""SCN642"", ""status"": ""departed""}"
EVT000000000060,SHP000000015,4,arrived,2026-01-03T01:15:00Z,legacy_tms,"{""scanner"": ""SCN324"", ""status"": ""arrived""}"
EVT000000000061,SHP000000016,1,created,2026-01-02T00:52:00Z,legacy_tms,"{""scanner"": ""SCN626"", ""status"": ""created""}"
EVT000000000062,SHP000000016,2,allocated,2026-01-02T05:52:00Z,legacy_tms,"{""scanner"": ""SCN937"", ""status"": ""allocated""}"
EVT000000000063,SHP000000016,3,departed,2026-01-02T11:52:00Z,legacy_tms,"{""scanner"": ""SCN813"", ""status"": ""departed""}"
EVT000000000064,SHP000000016,4,arrived,2026-01-02T09:52:00Z,legacy_tms,"{""scanner"": ""SCN166"", ""status"": ""arrived""}"
EVT000000000065,SHP000000017,1,created,2026-01-02T01:29:00Z,legacy_tms,"{""scanner"": ""SCN822"", ""status"": ""created""}"
EVT000000000066,SHP000000017,2,allocated,2026-01-02T06:29:00Z,legacy_tms,"{""scanner"": ""SCN980"", ""status"": ""allocated""}"
EVT000000000067,SHP000000017,3,departed,2026-01-02T09:29:00Z,legacy_tms,"{""scanner"": ""SCN267"", ""status"": ""departed""}"
EVT000000000068,SHP000000017,4,arrived,2026-01-02T06:29:00Z,legacy_tms,"{""scanner"": ""SCN748"", ""status"": ""arrived""}"
EVT000000000069,SHP000000018,1,created,2026-01-01T21:06:00Z,legacy_tms,"{""scanner"": ""SCN926"", ""status"": ""created""}"
EVT000000000070,SHP000000018,2,allocated,2026-01-02T09:06:00Z,legacy_tms,"{""scanner"": ""SCN143"", ""status"": ""allocated""}"
EVT000000000071,SHP000000018,3,departed,2026-01-02T19:06:00Z,legacy_tms,"{""scanner"": ""SCN969"", ""status"": ""departed""}"
EVT000000000072,SHP000000018,4,arrived,2026-01-03T03:06:00Z,legacy_tms,"{""scanner"": ""SCN841"", ""status"": ""arrived""}"
EVT_DUPLICATE_DELIVERY,SHP000000002,1,created,2026-01-01T14:14:00Z,legacy_tms,"{""scanner"": ""SCN957"", ""status"": ""created""}"
